Step,PGF_Loss,PGF_Time,PGF_Mem_MB
0,16.84474754333496,463.495986700058,1095.078125
1,8.429631233215332,229.08492755889893,1098.328125
2,6.782803535461426,238.56717491149902,1000.671875
3,5.997500419616699,481.7780930995941,1098.328125
4,5.593822479248047,368.75411653518677,1000.671875
5,5.333953857421875,564.6448657512665,1098.328125
6,5.077085018157959,350.7359127998352,1000.671875
7,4.824195861816406,591.2959244251251,1098.328125
8,4.72170352935791,341.58306431770325,1000.671875
9,4.389692306518555,459.72402024269104,1098.328125
